epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.7111,1.93415,0.13043,0.78261,1.93208,5e-05,5e-05,5e-05
2,65.295,1.64945,0.3913,0.95652,1.49777,0.00010637,0.00010637,0.00010637
3,91.4447,1.28711,0.78261,1,1.0474,0.00015878,0.00015878,0.00015878
4,117.744,0.91761,0.95652,1,0.74791,0.00020723,0.00020723,0.00020723
5,144.277,0.66179,0.95652,1,0.49242,0.00025172,0.00025172,0.00025172
6,171.218,0.51826,0.95652,1,0.3103,0.00029225,0.00029225,0.00029225
7,198.393,0.4334,0.95652,1,0.21451,0.00032882,0.00032882,0.00032882
8,231.494,0.18738,0.95652,1,0.18111,0.00036143,0.00036143,0.00036143
9,266.644,0.11022,0.95652,1,0.15085,0.00039008,0.00039008,0.00039008
10,301.974,0.12549,0.95652,1,0.13144,0.00041477,0.00041477,0.00041477
11,337.248,0.10297,0.95652,1,0.11613,0.0004355,0.0004355,0.0004355
12,372.337,0.07858,0.95652,1,0.11369,0.00045227,0.00045227,0.00045227
13,407.412,0.0257,0.95652,1,0.11563,0.00046508,0.00046508,0.00046508
14,442.833,0.04337,0.95652,1,0.11288,0.00047393,0.00047393,0.00047393
15,478.352,0.01421,0.95652,1,0.11231,0.00047882,0.00047882,0.00047882
16,513.609,0.03305,0.95652,1,0.10868,0.00047975,0.00047975,0.00047975
17,548.72,0.02291,0.95652,1,0.1211,0.000472,0.000472,0.000472
18,582.493,0.02742,0.95652,1,0.10827,0.000439,0.000439,0.000439
19,613.305,0.02575,0.95652,1,0.10789,0.000406,0.000406,0.000406
20,644.885,0.02983,0.95652,1,0.12223,0.000373,0.000373,0.000373
21,676.811,0.09402,0.95652,1,0.12798,0.00034,0.00034,0.00034
22,709.58,0.06245,0.95652,1,0.11503,0.000307,0.000307,0.000307
23,772.973,0.02379,0.95652,1,0.10852,0.000274,0.000274,0.000274
24,874.623,0.0273,0.95652,1,0.10164,0.000241,0.000241,0.000241
25,975.634,0.02281,0.95652,1,0.09931,0.000208,0.000208,0.000208
26,1076.22,0.14595,0.95652,1,0.10408,0.000175,0.000175,0.000175
27,1171.87,0.02022,0.95652,1,0.10001,0.000142,0.000142,0.000142
28,1205.22,0.00685,0.95652,1,0.09624,0.000109,0.000109,0.000109
29,1238.8,0.07747,0.95652,1,0.09597,7.6e-05,7.6e-05,7.6e-05
30,1272.7,0.09782,0.95652,1,0.10138,4.3e-05,4.3e-05,4.3e-05
