epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.3025,1.88784,0.17391,0.78261,1.93593,5e-05,5e-05,5e-05
2,70.9206,1.67481,0.3913,0.95652,1.5045,9.911e-05,9.911e-05,9.911e-05
3,106.361,1.31716,0.86957,1,1.09302,0.00013634,0.00013634,0.00013634
4,141.785,1.00516,0.91304,1,0.8397,0.00016169,0.00016169,0.00016169
5,177.063,0.75369,0.95652,1,0.606,0.00017516,0.00017516,0.00017516
6,212.429,0.56815,0.95652,1,0.44599,0.00017675,0.00017675,0.00017675
7,247.817,0.43522,0.95652,1,0.33728,0.00016646,0.00016646,0.00016646
8,283.274,0.34608,0.95652,1,0.2822,0.00014429,0.00014429,0.00014429
9,318.421,0.30187,0.95652,1,0.25158,0.00011024,0.00011024,0.00011024
10,353.918,0.28502,0.95652,1,0.246,6.431e-05,6.431e-05,6.431e-05
